# Consolidated Fable.exe symbol database (Steam TLC, base 0x400000)
# Sources: FableMenu source (func addresses+names), RTTI dump (vtables), curated statics.
# 2350 symbols: 251 func, 2090 vtable, 9 data. Columns below.
addr	name	kind	conv	source
00833800	CreateCreature	func	fastcall	FableMenu
00843700	CCreatureAction_PickUpGenericBox	func	thiscall	FableMenu
00844140	CCreatureAction_PickUpJugToFill	func	thiscall	FableMenu
0084DC10	CGameCameraManager::Update	func	thiscall	FableMenu
0088DE00	CGameScriptInterface::Error	func	thiscall	FableMenu
0088E200	CGameScriptInterface::SetGuildMasterMessages	func	thiscall	FableMenu
0088E210	CGameScriptInterface::DisplayTime	func	thiscall	FableMenu
0088E4C0	CGameScriptInterface::FadeScreenIn	func	thiscall	FableMenu
0088E4F0	CGameScriptInterface::Pause	func	thiscall	FableMenu
0088ECC0	CGameScriptInterface::IsCameraInScriptedMode	func	thiscall	FableMenu
0088ECE0	CGameScriptInterface::CameraShake	func	thiscall	FableMenu
0088ED20	CGameScriptInterface::CameraEarthquakeIntensityAtPos	func	thiscall	FableMenu
0088F960	CGameScriptInterface::SetSaveGameMarkerPos	func	thiscall	FableMenu
0088F970	CGameScriptInterface::ResetToFrontEnd	func	thiscall	FableMenu
0088FE90	CGameScriptInterface::FastForwardTimeTo	func	thiscall	FableMenu
00890820	CGameScriptInterface::FadeScreenOut	func	thiscall	FableMenu
00891320	CGameScriptInterface::EnableDangerMusic	func	thiscall	FableMenu
00891330	CGameScriptInterface::IsDangerMusicEnabled	func	thiscall	FableMenu
00891510	CGameScriptInterface::RemoveAllAvailableQuestCardsFromGuild	func	thiscall	FableMenu
008916A0	CGameScriptInterface::SheatheHeroWeapons	func	thiscall	FableMenu
00891870	CGameScriptInterface::IsHeroOnQuest	func	thiscall	FableMenu
00891C30	CGameScriptInterface::RemoveAllQuestInfoElements	func	thiscall	FableMenu
00891C40	CGameScriptInterface::DisplayMoneyBag	func	thiscall	FableMenu
00891C60	CGameScriptInterface::DisplayMiniGameInfo	func	thiscall	FableMenu
00892270	CGameScriptInterface::IsInCutscene	func	thiscall	FableMenu
00892280	CGameScriptInterface::SetCutsceneSkippable	func	thiscall	FableMenu
00892410	CGameScriptInterface::CameraMoveToPosAndLookAtPos	func	thiscall	FableMenu
00892530	CGameScriptInterface::CameraMoveBetweenLookingAt	func	thiscall	FableMenu
00892780	CGameScriptInterface::ShowOnScreenMessage	func	thiscall	FableMenu
008927B0	CGameScriptInterface::ShowOnScreenMessage	func	thiscall	FableMenu
00892810	CGameScriptInterface::ShowOnScreenMessage	func	thiscall	FableMenu
008929D0	CGameScriptInterface::DisplayGameInfo	func	thiscall	FableMenu
00892B30	CGameScriptInterface::IsSafeToDisplayGameInfo	func	thiscall	FableMenu
00892C20	CGameScriptInterface::CameraCircleAroundPos	func	thiscall	FableMenu
00898600	CGameScriptInterface::RemoveAllHeroWeapons	func	thiscall	FableMenu
008986D0	CGameScriptInterface::ConfiscateAllHeroItems	func	thiscall	FableMenu
008987E0	CGameScriptInterface::ConfiscateAllHeroWeapons	func	thiscall	FableMenu
00898840	CGameScriptInterface::ConfiscateItemsOfTypeFromHero	func	thiscall	FableMenu
00898940	CGameScriptInterface::ReturnAllConfiscatedItemsToHero	func	thiscall	FableMenu
0089E4C0	CGameScriptInterface::AddScreenTitleMessage	func	thiscall	FableMenu
0089E540	CGameScriptInterface::GiveHeroYesNoQuestion	func	thiscall	FableMenu
008D3350	CTCBuyableHouse::HasDummyVillagers	func	thiscall	FableMenu
008D68A0	CTCCreatureModeManager::ResetModes	func	thiscall	FableMenu
009034F0	CActionPlayAnimation	func	thiscall	FableMenu
0099EBF0	CCharString	func	thiscall	FableMenu
009ACCC0	CGameDefinitionManager::GetDefNameFromGlobalIndex	func	thiscall	FableMenu
009AD410	CGameDefinitionManager::GetDefGlobalIndexFromName	func	thiscall	FableMenu
009D49B0	CDefString::GetString	func	thiscall	FableMenu
00A01B50	CIntelligentPointer	func	thiscall	FableMenu
00A01B90	CIntelligentPointer	func	thiscall	FableMenu
00A0C2B0	CCamera::PointAt	func	thiscall	FableMenu
00AE85B0	CParticleEmitterDatabase::GetEmitterTemplateHandleFromName	func	thiscall	FableMenu
00AEAAE0	CParticleEmitterDatabase::Get	func	cdecl	FableMenu
00AEE8C0	CTCDParticleEmitter::KillParticle	func	thiscall	FableMenu
00B443B0	CTCCreatureModeManager::RemoveAllModes	func	thiscall	FableMenu
00B50FB0	HookEngineWeatherConstructor	func	thiscall	FableMenu
00B51EA0	CEngineWeatherSettings::SetRain	func	thiscall	FableMenu
00BFEA1A	GameMalloc	func	cdecl	FableMenu
00CB5C90	CScriptInfoManager::AddScript	func	thiscall	FableMenu
00CBFAB8	SetScriptStatus	func	fastcall	FableMenu
00CD39B1	GetScriptStatus	func	thiscall	FableMenu
00D42FE0	CTCBase::IsSerialisableForHeroState	func	thiscall	FableMenu
0122D06C	CDiskFileWin32::vftable	vtable	-	RTTI
0122D644	CPersistContext_TransferableComponentGenericType::vftable	vtable	-	RTTI
0122D6C4	CPersistContext_TransferableComponent<bool>::vftable	vtable	-	RTTI
0122D874	CStringParser::vftable	vtable	-	RTTI
0122DC6C	CImeUiFont_Base::vftable	vtable	-	RTTI
0122DCD4	CPersistContext_TransferableComponent<unsigned char>::vftable	vtable	-	RTTI
0122DE50	CDeviceResetCallback::vftable	vtable	-	RTTI
0122DEE8	CPersistContext_TransferableVectorGenericType::vftable	vtable	-	RTTI
0122DEFC	CPersistContext_TransferableComponent<CCharString>::vftable	vtable	-	RTTI
0122DF2C	CPersistContext_TransferableComponent<CWideString>::vftable	vtable	-	RTTI
0122DF38	CPersistContext_TransferableComponent<long>::vftable	vtable	-	RTTI
0122DFE0	CPersistContext_TransferableComponent<float>::vftable	vtable	-	RTTI
0122E004	CPersistContext_TransferableComponent<unsigned long>::vftable	vtable	-	RTTI
0122E010	CPersistContext_TransferableVector<CActionInputControl>::vftable	vtable	-	RTTI
0122E044	CPersistContext_TransferableVector<enum  ETutorialCategory>::vftable	vtable	-	RTTI
0122E0FC	CMemoryFile::vftable	vtable	-	RTTI
0122E230	CUserProfileManager::vftable	vtable	-	RTTI
0122E59C	CGame::vftable	vtable	-	RTTI
0122E5B0	CConsoleInputBase::vftable	vtable	-	RTTI
0122E5C8	CConsoleVariable::vftable	vtable	-	RTTI
0122E638	CConsoleCommandBase::vftable	vtable	-	RTTI
0122E65C	CConsoleClasslessCommand::vftable	vtable	-	RTTI
0122ECA4	CGameComponent::vftable	vtable	-	RTTI
0122ECCC	CAFile::vftable	vtable	-	RTTI
0122ED30	CNetworkServer::vftable	vtable	-	RTTI
0122ED7C	CBinaryFileDataWriter::vftable	vtable	-	RTTI
0122ED8C	CParticleEnvironmentInteraction::vftable	vtable	-	RTTI
0122EDAC	CNetworkClient::vftable	vtable	-	RTTI
0122F168	CFrameRateSmoother::vftable	vtable	-	RTTI
0122F174	CMainGameComponent::vftable	vtable	-	RTTI
0122F598	CEnginePrimitiveHandle::vftable	vtable	-	RTTI
0122F84C	CSurface::vftable	vtable	-	RTTI
0122FFCC	CAnimFilterBase::vftable	vtable	-	RTTI
0122FFDC	CAnimFilterNoGroup::vftable	vtable	-	RTTI
01230BA0	CDefPointeeBase::vftable	vtable	-	RTTI
01230BCC	CDefClassBase::vftable	vtable	-	RTTI
01230C34	CXMVPlayerBuffers::vftable	vtable	-	RTTI
01230C94	CNewFrontendGameComponent::vftable	vtable	-	RTTI
01230CBC	CParentDefClassBase::vftable	vtable	-	RTTI
01230E84	CControlsDef::vftable	vtable	-	RTTI
01230FBC	CFrontEndDef::vftable	vtable	-	RTTI
0123117C	CStartupDefinitionManager::vftable	vtable	-	RTTI
0123118C	CEngineDef::vftable	vtable	-	RTTI
012311F4	CEngineVideoOptionsDef::vftable	vtable	-	RTTI
0123125C	CConfigOptionsDefaultsDef::vftable	vtable	-	RTTI
0123156C	CTBaseSingleton<CEngineManager>::vftable	vtable	-	RTTI
01231574	CDisplayEngine::vftable	vtable	-	RTTI
01231584	CEngineManager::vftable	vtable	-	RTTI
01231710	CBaseClass::vftable	vtable	-	RTTI
01231718	CWStringParser::vftable	vtable	-	RTTI
01231720	CTBaseSingletonNoDefaultAlloc<CPlayerGui>::vftable	vtable	-	RTTI
01231768	CMiniMapDisplay::vftable	vtable	-	RTTI
0123177C	CPlayerGui::vftable	vtable	-	RTTI
01231784	CInputTypeBase::vftable	vtable	-	RTTI
012317A8	CInputTypeXboxPadButtonEvent::vftable	vtable	-	RTTI
012317CC	CInputTypeXboxPadLeftStickEvent::vftable	vtable	-	RTTI
012317F0	CInputTypeXboxPadRightStickEvent::vftable	vtable	-	RTTI
01231814	CInputTypeMouseMovementEvent::vftable	vtable	-	RTTI
01231838	CInputTypeMouseWheelMovementEvent::vftable	vtable	-	RTTI
0123185C	CInputTypeMouseWheelMovementUpEvent::vftable	vtable	-	RTTI
01231880	CInputTypeMouseWheelMovementDownEvent::vftable	vtable	-	RTTI
012318A4	CInputTypeKeyboardKeyEvent::vftable	vtable	-	RTTI
012318C8	CInputTypeMouseButtonEvent::vftable	vtable	-	RTTI
01231BDC	CGamePlayerInterface::vftable	vtable	-	RTTI
01231C4C	CIntelligentPointer<CThingPlayerCreature>::vftable	vtable	-	RTTI
01231C80	CPersistContext_TransferableComponent<unsigned __int64>::vftable	vtable	-	RTTI
01231CC4	CPlayer::vftable	vtable	-	RTTI
01231CD0	CPlayerManager::vftable	vtable	-	RTTI
01231D54	CSubDefClassBase::vftable	vtable	-	RTTI
01231DBC	CInventoryItemDef::vftable	vtable	-	RTTI
01231E34	CPhysicsDef::vftable	vtable	-	RTTI
01231E9C	CTCNoiseDef::vftable	vtable	-	RTTI
01231F04	CCarrySlotDef::vftable	vtable	-	RTTI
01231F7C	CSmashableDef::vftable	vtable	-	RTTI
0123200C	CActionUseDef::vftable	vtable	-	RTTI
01232074	CHeroMarriageDef::vftable	vtable	-	RTTI
012320DC	CSpecialAbilitiesDrainLifeDataDef::vftable	vtable	-	RTTI
01232144	CSpecialAbilitiesForcePushDataDef::vftable	vtable	-	RTTI
012321AC	CCreatureStatsDef::vftable	vtable	-	RTTI
01232214	CCoopSpiritDef::vftable	vtable	-	RTTI
0123227C	CContextSensitiveItemDef::vftable	vtable	-	RTTI
012322E4	CBonusItemDef::vftable	vtable	-	RTTI
0123234C	CHeroTitleDef::vftable	vtable	-	RTTI
012323B4	CTattooDef::vftable	vtable	-	RTTI
0123241C	CHairCardDef::vftable	vtable	-	RTTI
01232484	CCombatAbilityData::vftable	vtable	-	RTTI
01232498	CCombatAbilityMeleeAttackData::vftable	vtable	-	RTTI
012324AC	CCombatAbilityStrafingData::vftable	vtable	-	RTTI
012324C0	CCombatAbilityProjectileAttackData::vftable	vtable	-	RTTI
012324D4	CCombatAbilityAttackBase::vftable	vtable	-	RTTI
0123253C	CCombatAbilityBlockCounterAttackDef::vftable	vtable	-	RTTI
012325A4	CCombatAbilityFlourishCounterAttackDef::vftable	vtable	-	RTTI
0123260C	CCombatAbilityGetHitCounterAttackDef::vftable	vtable	-	RTTI
01232674	CCombatAbilityStrafeDef::vftable	vtable	-	RTTI
012326DC	CCombatAbilityUseProjectileWeaponDef::vftable	vtable	-	RTTI
01232744	CDragonActionSwoopDef::vftable	vtable	-	RTTI
012327AC	CDragonActionNapalmDef::vftable	vtable	-	RTTI
01232814	CDragonActionHoverDef::vftable	vtable	-	RTTI
0123287C	CAugmentationDef::vftable	vtable	-	RTTI
012328E4	CAbilityDef::vftable	vtable	-	RTTI
0123294C	CJackDragonDef::vftable	vtable	-	RTTI
012329B4	CBriarRoseDef::vftable	vtable	-	RTTI
01232A84	CGuildMasterDef::vftable	vtable	-	RTTI
01232AEC	CSummonerDef::vftable	vtable	-	RTTI
01232B54	CExplosiveTrailDef::vftable	vtable	-	RTTI
01232BBC	CThingMultiArrowShotDef::vftable	vtable	-	RTTI
01232C24	CGameDefinitionManager::vftable	vtable	-	RTTI
01232C4C	CVillagePeopleDef::vftable	vtable	-	RTTI
01232CB4	CHitLocationsDef::vftable	vtable	-	RTTI
01232D1C	CDegradableDef::vftable	vtable	-	RTTI
01232D84	CTargetingDef::vftable	vtable	-	RTTI
01232DEC	CCombatAbilityBlockingData::vftable	vtable	-	RTTI
01232E04	CCombatAbilityBlockDefBase::vftable	vtable	-	RTTI
01232E6C	CCombatAbilityBlockUnarmedAttackDef::vftable	vtable	-	RTTI
01232ED4	CCombatAbilityBlockLightWeaponAttackDef::vftable	vtable	-	RTTI
01232F3C	CCombatAbilityBlockHeavyWeaponAttackDef::vftable	vtable	-	RTTI
01232FA4	CCombatAbilityBlockProjectileWeaponAttackDef::vftable	vtable	-	RTTI
0123300C	CSpecialEffectsDef::vftable	vtable	-	RTTI
01233074	CTextureReplacementDef::vftable	vtable	-	RTTI
012330DC	CAppearanceModifierDef::vftable	vtable	-	RTTI
01233144	CThingBuildingDef::vftable	vtable	-	RTTI
012331FC	CThingHolySiteDef::vftable	vtable	-	RTTI
01233264	CThingMarkerDef::vftable	vtable	-	RTTI
012332CC	CThingSwitchDef::vftable	vtable	-	RTTI
01233334	CThingVillageDef::vftable	vtable	-	RTTI
0123339C	CThingPhysicalSwitchDef::vftable	vtable	-	RTTI
01233404	CInventoryDef::vftable	vtable	-	RTTI
0123346C	CInventoryCategoryDef::vftable	vtable	-	RTTI
012334D4	CMessageEventDef::vftable	vtable	-	RTTI
0123353C	CSkyDef::vftable	vtable	-	RTTI
012335A4	CEnvironmentDef::vftable	vtable	-	RTTI
0123360C	CEnvironmentThemeDaySetDef::vftable	vtable	-	RTTI
01233674	CEngineLocalDetailGeneratorDef::vftable	vtable	-	RTTI
012336DC	CMaterialDef::vftable	vtable	-	RTTI
01233744	CCombatTypeDef::vftable	vtable	-	RTTI
012337AC	CSimVoice::vftable	vtable	-	RTTI
012337BC	CSimVoicesDef::vftable	vtable	-	RTTI
01233824	CSoundThemeDef::vftable	vtable	-	RTTI
